Rho_Theta,W_Theta,Algorithmic_Latency_MS,Speedup_x
10.0,0.1,306.01,3.2
10.0,0.3,270.24,3.63
10.0,0.8,421.01,2.33
20.0,0.1,468.79,2.09
20.0,0.3,449.6,2.18
20.0,0.5,423.04,2.32
20.0,0.8,423.16,2.32
50.0,0.1,340.89,2.87
50.0,0.3,309.16,3.17
50.0,0.5,246.95,3.97
50.0,0.8,223.12,4.39
100.0,0.1,265.27,3.69
100.0,0.3,150.44,6.51
100.0,0.5,119.22,8.22
100.0,0.8,83.53,11.73
