Rho_Theta,W_Theta,Algorithmic_Latency_MS,Speedup_x
10.0,0.1,496.46,1.97
10.0,0.3,274.66,3.57
10.0,0.5,258.78,3.79
10.0,0.8,395.54,2.48
20.0,0.1,538.35,1.82
20.0,0.3,436.29,2.25
20.0,0.5,267.49,3.66
20.0,0.8,315.45,3.11
50.0,0.1,354.44,2.76
50.0,0.3,245.09,4.0
50.0,0.5,353.96,2.77
50.0,0.8,304.24,3.22
100.0,0.1,168.48,5.82
100.0,0.3,148.69,6.59
100.0,0.5,78.63,12.46
100.0,0.8,155.44,6.3
